"title","year","genres","rating"
"The Avengers","2012","action,adventure","8 base on 1,232,705 votes"
"The Bourne Ultimatum","2007","action,mystery,thriller","8 base on 594,173 votes"
"Casino Royale","2006","action,adventure,thriller","8 base on 564,972 votes"
"Kill Bill: Vol. 2","2004","action,crime,thriller","8 base on 660,381 votes"
"Pirates of the Caribbean: The Curse of the Black Pearl","2003","action,adventure,fantasy","8 base on 994,736 votes"
"The Incredibles","2004","action,adventure,animation,family","8 base on 636,631 votes"
"Company","2002","action,crime,drama,thriller","8 base on 14,023 votes"
"Vaastav: The Reality","1999","action,crime,drama,thriller","8 base on 12,062 votes"
"The Iron Giant","1999","action,adventure,animation,comedy,drama,family","8 base on 166,249 votes"
"Knockin' on Heaven's Door","1997","action,comedy,crime,drama","8 base on 26,666 votes"
"Kôkaku Kidôtai","1995","action,animation,crime,drama,mystery,thriller","8 base on 123,603 votes"
"The Terminator","1984","action","8 base on 775,731 votes"
"Per un pugno di dollari","1964","action,drama,western","8 base on 189,295 votes"
"Rio Bravo","1959","action,drama,western","8 base on 53,943 votes"
"The Gentlemen","2019","action,comedy,crime","7.9 base on 141,656 votes"
"Doragon bôru chô: Burorî","2018","action,adventure,animation,family,fantasy","7.9 base on 20,733 votes"
"Dunkirk","2017","action,drama,history,thriller,war","7.9 base on 518,803 votes"
"Kaththi","2014","action,drama","7.9 base on 16,710 votes"
"Itirazim Var","2014","action,crime,drama,mystery","7.9 base on 11,555 votes"
"Bilal: A New Breed of Hero","2015","action,adventure,animation","7.9 base on 17,067 votes"
"Thor: Ragnarok","2017","action,adventure,comedy,fantasy","7.9 base on 553,058 votes"
"Star Wars: Episode VII - The Force Awakens","2015","action,adventure","7.9 base on 838,629 votes"
"Thuppakki","2012","action,thriller","7.9 base on 22,503 votes"
"Waar","2013","action,crime,drama,thriller","7.9 base on 29,243 votes"
"Edge of Tomorrow","2014","action,adventure","7.9 base on 578,989 votes"
"Chugyeogja","2008","action,crime,thriller","7.9 base on 54,967 votes"
"District 9","2009","action,thriller","7.9 base on 625,995 votes"
"Pokiri","2006","action,thriller","7.9 base on 12,052 votes"
"Star Trek","2009","action,adventure","7.9 base on 568,998 votes"
"Letters from Iwo Jima","2006","action,adventure,drama,history,war","7.9 base on 150,976 votes"
"Iron Man","2008","action,adventure","7.9 base on 912,440 votes"
"Lakshya","2004","action,drama,romance,war","7.9 base on 19,723 votes"
"Ying xiong","2002","action,adventure,history","7.9 base on 170,924 votes"
"Cowboy Bebop: Tengoku no tobira","2001","action,animation,crime,drama,thriller","7.9 base on 41,438 votes"
"The Bourne Identity","2002","action,mystery,thriller","7.9 base on 494,557 votes"
"Jûbê ninpûchô","1993","action,adventure,animation,fantasy,thriller","7.9 base on 33,390 votes"
"Aguirre, der Zorn Gottes","1972","action,adventure,biography,drama,history","7.9 base on 49,979 votes"
"The Wild Bunch","1969","action,adventure,western","7.9 base on 75,272 votes"
"The Adventures of Robin Hood","1938","action,adventure,romance","7.9 base on 45,735 votes"
"Steamboat Bill, Jr.","1928","action,comedy,drama,family,romance","7.9 base on 12,584 votes"
"Raazi","2018","action,drama,thriller","7.8 base on 22,807 votes"
"Taeksi woonjunsa","2017","action,drama,history","7.8 base on 13,268 votes"
"24","I (2016)","action,thriller","7.8 base on 15,710 votes"
"Udta Punjab","2016","action,crime,drama","7.8 base on 25,471 votes"
"Kubo and the Two Strings","2016","action,adventure,animation,family,fantasy","7.8 base on 113,474 votes"
"Rogue One","2016","action,adventure","7.8 base on 531,569 votes"
"Captain America: Civil War","2016","action,adventure","7.8 base on 635,189 votes"
"Big Hero 6","2014","action,adventure,animation,family","7.8 base on 396,171 votes"
"How to Train Your Dragon 2","2014","action,adventure,animation,family,fantasy","7.8 base on 295,321 votes"
"Ang-ma-reul bo-at-da","2010","action,crime,drama,horror,thriller","7.8 base on 103,714 votes"
"Ajeossi","2010","action,drama,thriller","7.8 base on 59,795 votes"
"Stranger: Mukô hadan","2007","action,adventure,animation","7.8 base on 14,221 votes"
"Kabadayi","2007","action,crime,drama","7.8 base on 19,228 votes"
