"title","year","genres","rating"
"Bangkok Dangerous","2008","action,crime,thriller","5.4 base on 54,234 votes"
"Season of the Witch","2011","action,adventure,fantasy","5.4 base on 88,740 votes"
"Max Payne","2008","action,crime,drama,thriller","5.4 base on 120,422 votes"
"The Last Legion","2007","action,adventure,war","5.4 base on 33,635 votes"
"Pathfinder","2007","action,adventure,drama,thriller,war","5.4 base on 41,846 votes"
"Snakes on a Plane","2006","action,adventure,crime,thriller","5.4 base on 129,468 votes"
"Undead","2003","action,comedy,fantasy,horror","5.4 base on 12,436 votes"
"I Spy","2002","action,adventure,comedy,thriller","5.4 base on 48,111 votes"
"The Tuxedo","2002","action,comedy","5.4 base on 77,155 votes"
"Eight Legged Freaks","2002","action,adventure,comedy,horror,thriller","5.4 base on 51,644 votes"
"Replicant","2001","action,thriller","5.4 base on 13,391 votes"
"Godzilla","I (1998)","action,thriller","5.4 base on 178,239 votes"
"Excess Baggage","1997","action,comedy,crime,romance","5.4 base on 12,421 votes"
"Spy Hard","1996","action,comedy","5.4 base on 35,261 votes"
"The Glimmer Man","1996","action,comedy,crime,drama,thriller","5.4 base on 18,310 votes"
"Batman Forever","1995","action,adventure,fantasy","5.4 base on 229,359 votes"
"Freejack","1992","action,crime,thriller","5.4 base on 14,513 votes"
"Pink Cadillac","1989","action,comedy,crime,drama","5.4 base on 10,542 votes"
"Masters of the Universe","1987","action,adventure,fantasy","5.4 base on 35,680 votes"
"Bharat","2019","action,comedy,drama","5.3 base on 18,418 votes"
"Once Upon a Time in Venice","2017","action,comedy","5.3 base on 16,516 votes"
"Robin Hood","2018","action,adventure,fantasy,thriller","5.3 base on 58,848 votes"
"Kick","2014","action,comedy","5.3 base on 23,005 votes"
"Point Break","2015","action,crime,sport,thriller","5.3 base on 56,635 votes"
"Geostorm","2017","action,thriller","5.3 base on 89,186 votes"
"Beyond Skyline","2017","action,adventure,horror,thriller","5.3 base on 17,254 votes"
"[REC] 4: Apocalipsis","2014","action,adventure,horror,thriller","5.3 base on 15,535 votes"
"Jupiter Ascending","2015","action,adventure","5.3 base on 174,111 votes"
"A Good Day to Die Hard","2013","action,thriller","5.3 base on 194,337 votes"
"One for the Money","2012","action,comedy,crime,romance,thriller","5.3 base on 39,733 votes"
"Race 2","2013","action,crime,thriller","5.3 base on 14,724 votes"
"The Colony","I (2013)","action,horror,thriller","5.3 base on 42,230 votes"
"Blood: The Last Vampire","2009","action,adventure,fantasy,horror,thriller","5.3 base on 14,263 votes"
"The Covenant","2006","action,adventure,fantasy,horror,mystery,thriller","5.3 base on 45,802 votes"
"Land of the Lost","2009","action,adventure,comedy","5.3 base on 63,858 votes"
"Edison","2005","action,crime,drama,thriller","5.3 base on 14,547 votes"
"D.E.B.S.","2004","action,comedy,romance","5.3 base on 14,441 votes"
"Hollywood Homicide","2003","action,comedy,crime,thriller","5.3 base on 35,226 votes"
"The Medallion","2003","action,comedy,fantasy","5.3 base on 38,145 votes"
"Daredevil","2003","action,crime","5.3 base on 203,059 votes"
"Pootie Tang","2001","action,adventure,comedy,musical","5.3 base on 13,210 votes"
"Spawn","1997","action,drama,horror","5.3 base on 62,532 votes"
"Tank Girl","1995","action,comedy","5.3 base on 29,423 votes"
"Congo","1995","action,adventure,mystery","5.3 base on 41,050 votes"
"I Love Trouble","1994","action,comedy,romance,thriller","5.3 base on 11,200 votes"
"3 Ninjas","1992","action,comedy,family,sport","5.3 base on 19,594 votes"
"King Solomon's Mines","1985","action,adventure,comedy,romance","5.3 base on 12,135 votes"
"Smokey and the Bandit II","1980","action,comedy","5.3 base on 14,318 votes"
"Rim of the World","2019","action,adventure,comedy","5.2 base on 16,750 votes"
"Saaho","2019","action,thriller","5.2 base on 14,314 votes"
"The First Purge","2018","action,horror,thriller","5.2 base on 50,294 votes"
"Hagane no renkinjutsushi","2017","action,adventure,fantasy","5.2 base on 18,239 votes"
"Dilwale","2015","action,comedy,drama,romance","5.2 base on 30,304 votes"
"Transformers: The Last Knight","2017","action,adventure","5.2 base on 130,169 votes"
"The Transporter Refueled","2015","action,adventure,thriller","5.2 base on 37,999 votes"
"The 5th Wave","2016","action,adventure,drama,fantasy,thriller","5.2 base on 96,332 votes"
"Hellboy","2019","action,adventure,fantasy,horror","5.2 base on 71,858 votes"
"The Bag Man","I (2014)","action,crime,drama,thriller","5.2 base on 15,976 votes"
"USS Indianapolis: Men of Courage","2016","action,drama,history,thriller,war","5.2 base on 10,784 votes"
"Housefull 2","2012","action,comedy,musical,romance","5.2 base on 12,661 votes"
"The Day","I (2011)","action,drama,horror,thriller","5.2 base on 12,075 votes"
"Quarantine 2: Terminal","2011","action,drama,horror,thriller","5.2 base on 18,111 votes"
"Independence Day: Resurgence","2016","action,adventure","5.2 base on 161,963 votes"
"Bait","III (2012)","action,adventure,drama,horror,thriller","5.2 base on 15,743 votes"
"The Human Race","2013","action,horror","5.2 base on 10,219 votes"
"xXx: Return of Xander Cage","2017","action,adventure,thriller","5.2 base on 82,769 votes"
"Ghostbusters","2016","action,comedy,fantasy","5.2 base on 197,800 votes"
"Universal Soldier: Regeneration","2009","action,adventure","5.2 base on 24,304 votes"
"Paul Blart: Mall Cop","2009","action,comedy,crime,family","5.2 base on 100,162 votes"
"Legion","2010","action,adventure,fantasy,horror","5.2 base on 96,911 votes"
"Krrish 3","2013","action","5.2 base on 19,925 votes"
"The Mummy: Tomb of the Dragon Emperor","2008","action,adventure,fantasy,horror,thriller","5.2 base on 147,374 votes"
"Conan the Barbarian","2011","action,adventure,fantasy","5.2 base on 93,604 votes"
"Mutant Chronicles","2008","action,adventure,mystery","5.2 base on 25,352 votes"
"Doom","2005","action,horror","5.2 base on 104,206 votes"
"Ghost Rider","2007","action,fantasy,thriller","5.2 base on 218,163 votes"
"Get Carter","2000","action,crime,drama,thriller","5.2 base on 31,883 votes"
"Big Momma's House","2000","action,comedy,crime","5.2 base on 79,215 votes"
"Clockstoppers","2002","action,adventure,comedy,thriller","5.2 base on 13,097 votes"
"Lost in Space","1998","action,adventure,family,thriller","5.2 base on 68,325 votes"
"Mighty Morphin Power Rangers: The Movie","1995","action,adventure,family,thriller","5.2 base on 24,600 votes"
"Bad Girls","1994","action,adventure,romance,western","5.2 base on 11,383 votes"
"The Karate Kid Part III","1989","action,drama,family,sport","5.2 base on 46,745 votes"
"Occupation","2018","action,drama","5.1 base on 11,234 votes"
"The Hurricane Heist","2018","action,adventure,crime,thriller","5.1 base on 17,743 votes"
"Hot Pursuit","2015","action,comedy,crime","5.1 base on 46,999 votes"
"Grave Encounters 2","2012","action,adventure,fantasy,horror","5.1 base on 22,209 votes"
"Shingeki no kyojin","2015","action,adventure,drama,fantasy,horror","5.1 base on 11,555 votes"
"Everly","2014","action,thriller","5.1 base on 16,617 votes"
"Alex Cross","2012","action,crime,mystery,thriller","5.1 base on 31,725 votes"
"Abduction","I (2011)","action,mystery,thriller","5.1 base on 74,907 votes"
"Elephant White","2011","action,crime,fantasy,thriller","5.1 base on 10,324 votes"
"The Son of No One","2011","action,crime,drama,thriller","5.1 base on 16,218 votes"
"I, Frankenstein","2014","action,fantasy","5.1 base on 77,093 votes"
"Jai Ho","2014","action,drama","5.1 base on 16,287 votes"
"Lesbian Vampire Killers","2009","action,comedy,fantasy,horror","5.1 base on 19,259 votes"
"Dylan Dog: Dead of Night","2010","action,comedy,crime,fantasy,horror,mystery,thriller","5.1 base on 14,449 votes"
"Stormbreaker","2006","action,adventure,family,thriller","5.1 base on 22,866 votes"
"The Breed","2006","action,comedy,horror,thriller","5.1 base on 11,987 votes"
"Eragon","2006","action,adventure,family,fantasy","5.1 base on 120,071 votes"
"10,000 BC","2008","action,adventure,drama,fantasy,history,thriller","5.1 base on 123,481 votes"
"See No Evil","2006","action,horror,thriller","5.1 base on 25,272 votes"
"G-Force","2009","action,adventure,comedy,family,fantasy","5.1 base on 41,461 votes"
"Hell Ride","2008","action,drama,thriller","5.1 base on 15,261 votes"
"The Cave","2005","action,adventure,horror,thriller","5.1 base on 34,444 votes"
"Miss Congeniality 2: Armed & Fabulous","2005","action,comedy,crime","5.1 base on 67,521 votes"
"Stealth","2005","action,adventure,thriller","5.1 base on 51,006 votes"
"Spy Kids 2: Island of Lost Dreams","2002","action,adventure,comedy,family","5.1 base on 58,504 votes"
"Cats & Dogs","2001","action,comedy,family,fantasy","5.1 base on 55,122 votes"
"Fire Down Below","1997","action,drama,thriller","5.1 base on 16,264 votes"
"Cyborg","1989","action,thriller","5.1 base on 28,204 votes"
"Red Sonja","1985","action,adventure,fantasy","5.1 base on 37,597 votes"
"Cannonball Run II","1984","action,comedy","5.1 base on 14,497 votes"
"How It Ends","2018","action,adventure,drama,mystery,thriller","5 base on 42,048 votes"
"Extraterrestrial","2014","action,horror,mystery,thriller","5 base on 14,372 votes"
"American Heist","2014","action,crime,drama,thriller","5 base on 16,066 votes"
"Happy New Year","I (2014)","action,comedy,music","5 base on 32,918 votes"
"Tokarev","2014","action,crime,thriller","5 base on 22,880 votes"
"So Undercover","2012","action,comedy,crime,drama","5 base on 18,851 votes"
"Universal Soldier: Day of Reckoning","2012","action,horror,mystery,thriller","5 base on 18,863 votes"
"Ong-bak 3","2010","action","5 base on 12,729 votes"
"[Rec]³: Génesis","2012","action,comedy,horror,romance,thriller","5 base on 32,314 votes"
"Agent Cody Banks","2003","action,adventure,comedy,crime,family,romance,thriller","5 base on 32,117 votes"
"Virus","1999","action,horror,thriller","5 base on 25,834 votes"
"Superman III","1983","action,adventure,comedy","5 base on 62,489 votes"
"Kickboxer: Vengeance","2016","action,crime,drama,sport","4.9 base on 10,055 votes"
"Welcome to the Jungle","2013","action,adventure,comedy","4.9 base on 12,023 votes"
"Vehicle 19","2013","action,thriller","4.9 base on 14,313 votes"
"The Cold Light of Day","2012","action,adventure,thriller","4.9 base on 34,573 votes"
"The Darkest Hour","2011","action,adventure,horror,thriller","4.9 base on 56,741 votes"
"Amusement","2008","action,comedy,crime,horror,mystery,thriller","4.9 base on 10,948 votes"
"Rise","2007","action,horror,mystery,thriller","4.9 base on 11,206 votes"
"Charlie's Angels: Full Throttle","2003","action,adventure,comedy,crime","4.9 base on 118,277 votes"
"The Musketeer","2001","action,adventure,romance","4.9 base on 13,885 votes"
"Ghosts of Mars","2001","action,horror","4.9 base on 49,892 votes"
"Dracula 2000","2000","action,fantasy,horror,thriller","4.9 base on 31,388 votes"
"The Crow: Salvation","2000","action,crime,fantasy,mystery,thriller","4.9 base on 10,596 votes"
"Wild Wild West","1999","action,comedy,western","4.9 base on 149,907 votes"
"Knock Off","1998","action,crime,thriller","4.9 base on 13,542 votes"
"Turbulence","1997","action,thriller","4.9 base on 10,444 votes"
"Blues Brothers 2000","1998","action,comedy,crime,music,musical","4.9 base on 30,791 votes"
"The Phantom","1996","action,adventure,comedy,fantasy","4.9 base on 31,627 votes"
"Dabangg 2","2012","action,comedy","4.8 base on 14,816 votes"
"After Earth","2013","action,adventure","4.8 base on 187,922 votes"
"Aftershock","2012","action,adventure,horror,thriller","4.8 base on 10,966 votes"
"The Spirit","2008","action,crime,fantasy,thriller","4.8 base on 58,803 votes"
"Primeval","2007","action,adventure,crime,horror,war","4.8 base on 12,654 votes"
"Tekken","2010","action,crime,drama,thriller","4.8 base on 25,725 votes"
"DOA: Dead or Alive","2006","action,adventure","4.8 base on 42,608 votes"
"Godsend","2004","action,drama,fantasy,horror,thriller","4.8 base on 24,509 votes"
"Crocodile Dundee in Los Angeles","2001","action,adventure,comedy,crime","4.8 base on 23,026 votes"
"Double Team","1997","action,comedy,thriller","4.8 base on 30,646 votes"
"Anaconda","1997","action,adventure,horror,thriller","4.8 base on 92,468 votes"
"Teenage Mutant Ninja Turtles III","1993","action,adventure,comedy,family,fantasy","4.8 base on 30,030 votes"
"Killing Gunther","2017","action,comedy,thriller","4.7 base on 10,325 votes"
"Ready","2011","action,comedy","4.7 base on 14,397 votes"
"Zoolander 2","2016","action,adventure,comedy,mystery,romance","4.7 base on 62,947 votes"
"Jonah Hex","2010","action,drama,fantasy,thriller,western","4.7 base on 54,079 votes"
"AVPR: Aliens vs Predator - Requiem","2007","action,horror,thriller","4.7 base on 113,361 votes"
"Underdog","2007","action,adventure,comedy,family,fantasy","4.7 base on 19,096 votes"
"The Marine","2006","action,comedy,drama,thriller","4.7 base on 31,795 votes"
"Anacondas: The Hunt for the Blood Orchid","2004","action,adventure,horror,thriller","4.7 base on 28,036 votes"
"Elektra","2005","action,adventure,crime,fantasy","4.7 base on 85,442 votes"
"Batoru rowaiaru II: Chinkonka","2003","action,drama,thriller","4.7 base on 18,995 votes"
"Biker Boyz","2003","action,drama","4.7 base on 12,514 votes"
"Half Past Dead","2002","action,crime,thriller","4.7 base on 14,316 votes"
"The Crow: City of Angels","1996","action,crime,fantasy,thriller","4.7 base on 18,742 votes"
"Howard the Duck","1986","action,adventure,comedy,romance","4.7 base on 41,721 votes"
"Charlie's Angels","2019","action,adventure,comedy","4.6 base on 41,510 votes"
"The Pyramid","2014","action,adventure,horror,mystery,thriller","4.6 base on 22,521 votes"
"Catch .44","2011","action,crime,drama,thriller","4.6 base on 16,385 votes"
"Bodyguard","2011","action,comedy,drama,romance","4.6 base on 21,321 votes"
"Ra.One","2011","action,adventure","4.6 base on 37,047 votes"
"Outcast","I (2014)","action,adventure,drama,thriller","4.6 base on 12,103 votes"
"Max Steel","2016","action,adventure,family,fantasy","4.6 base on 17,751 votes"
"The Prince","I (2014)","action,thriller","4.6 base on 16,904 votes"
"Code Name: The Cleaner","2007","action,comedy,crime","4.6 base on 11,124 votes"
"Skinwalkers","2006","action,fantasy,horror,thriller","4.6 base on 12,793 votes"
"Agent Cody Banks 2: Destination London","2004","action,adventure,comedy,family,romance","4.6 base on 13,684 votes"
"Highlander: Endgame","2000","action,adventure,fantasy","4.6 base on 18,998 votes"
"Driven","2001","action,drama,sport","4.6 base on 38,648 votes"
"On Deadly Ground","1994","action,adventure,thriller","4.6 base on 21,616 votes"
"Prem Ratan Dhan Payo","2015","action,drama,musical,romance","4.5 base on 16,556 votes"
"Snatched","2017","action,adventure,comedy","4.5 base on 32,099 votes"
"Death Note","I (2017)","action,adventure,crime,drama,fantasy,horror,mystery,thriller","4.5 base on 72,372 votes"
"Postal","2007","action,comedy,crime,thriller","4.5 base on 22,036 votes"
"Superhero Movie","2008","action,comedy","4.5 base on 62,166 votes"
"Taxi","I (2004)","action,comedy,crime,thriller","4.5 base on 39,242 votes"
"Highlander III: The Sorcerer","1994","action,fantasy,romance","4.5 base on 19,388 votes"
"Paul Blart: Mall Cop 2","2015","action,comedy,crime,family","4.4 base on 33,034 votes"
"Getaway","I (2013)","action,crime,thriller","4.4 base on 22,858 votes"
"Setup","I (2011)","action,crime,drama","4.4 base on 20,229 votes"
"Skyline","2010","action,thriller","4.4 base on 85,347 votes"
"Big Mommas: Like Father, Like Son","2011","action,comedy,crime","4.4 base on 24,831 votes"
"Bitch Slap","2009","action,comedy,crime,thriller","4.4 base on 13,285 votes"
"Zoom","2006","action,adventure,comedy,family,fantasy","4.4 base on 18,375 votes"
"Ultraviolet","2006","action","4.4 base on 78,335 votes"
"xXx: State of the Union","2005","action,adventure,crime,thriller","4.4 base on 66,069 votes"
"Kangaroo Jack","2003","action,adventure,comedy,crime,family","4.4 base on 28,506 votes"
"Jason X","2001","action,horror,thriller","4.4 base on 48,843 votes"
"Species II","1998","action,horror,thriller","4.4 base on 26,737 votes"
"The Next Karate Kid","1994","action,drama,family,romance,sport","4.4 base on 24,448 votes"
"Ishtar","1987","action,adventure,comedy,music,thriller","4.4 base on 10,008 votes"
"Supergirl","1984","action,adventure,fantasy,romance","4.4 base on 17,956 votes"
"Yoga Hosers","2016","action,comedy,fantasy,horror,thriller","4.3 base on 11,675 votes"
"Fantastic Four","2015","action,adventure","4.3 base on 146,794 votes"
"Cats & Dogs: The Revenge of Kitty Galore","2010","action,comedy,family,fantasy","4.3 base on 13,481 votes"
"Ghost Rider: Spirit of Vengeance","2011","action,fantasy,thriller","4.3 base on 108,190 votes"
"Cell","I (2016)","action,drama,horror,thriller","4.3 base on 24,175 votes"
"Wing Commander","1999","action,adventure","4.3 base on 15,916 votes"
"Fair Game","1995","action,romance,thriller","4.3 base on 11,844 votes"
"Stop! Or My Mom Will Shoot","1992","action,comedy","4.3 base on 37,465 votes"
"Highlander II: The Quickening","1991","action,adventure,fantasy,thriller","4.3 base on 42,604 votes"
"Vice","2015","action,adventure,thriller","4.2 base on 15,055 votes"
"The Legend of Hercules","2014","action,adventure,fantasy","4.2 base on 51,683 votes"
"Spy Kids 3: Game Over","2003","action,adventure,comedy,family","4.2 base on 52,984 votes"
"A Sound of Thunder","2005","action,adventure,horror,thriller","4.2 base on 18,542 votes"
"Universal Soldier: The Return","1999","action","4.2 base on 27,333 votes"
"Thunderbirds","2004","action,adventure,comedy,family","4.2 base on 12,855 votes"
"The Patriot","1998","action,thriller","4.2 base on 11,516 votes"
"The Last Airbender","2010","action,adventure,family,fantasy","4.1 base on 144,485 votes"
"Torque","2004","action,comedy,crime","4.1 base on 26,598 votes"
"Inspector Gadget","1999","action,adventure,comedy,crime,family","4.1 base on 44,196 votes"
"Beowulf","1999","action,adventure,fantasy,horror,thriller","4.1 base on 10,963 votes"
"RoboCop 3","1993","action,crime,thriller","4.1 base on 44,565 votes"
"Thugs of Hindostan","2018","action,adventure","4 base on 16,782 votes"
"Street Fighter","1994","action,adventure,comedy,thriller","4 base on 64,345 votes"
"Zashchitniki","2017","action,adventure,fantasy,thriller","3.9 base on 11,379 votes"
"Jeepers Creepers 3","2017","action,horror,mystery,thriller","3.9 base on 16,138 votes"
"Speed 2: Cruise Control","1997","action,adventure,crime,romance,thriller","3.9 base on 72,701 votes"
"Singularity","I (2017)","action,adventure,drama","3.8 base on 12,595 votes"
"Escape Plan 2: Hades","2018","action,crime,mystery,thriller","3.8 base on 26,066 votes"
"In the Name of the King: A Dungeon Siege Tale","2007","action,adventure,fantasy,horror,thriller,war","3.8 base on 43,588 votes"
"The Adventures of Pluto Nash","2002","action,comedy","3.8 base on 23,982 votes"
"The Avengers","1998","action,adventure,thriller","3.8 base on 40,106 votes"
"Double Dragon","1994","action,adventure,comedy,fantasy","3.8 base on 10,842 votes"
"Street Fighter: The Legend of Chun-Li","2009","action,crime,thriller","3.7 base on 22,607 votes"
"Ballistic: Ecks vs. Sever","2002","action,crime,mystery,thriller","3.7 base on 18,815 votes"
"Mortal Kombat: Annihilation","1997","action,adventure,fantasy,thriller","3.7 base on 45,380 votes"
"Batman & Robin","1997","action","3.7 base on 227,977 votes"
"Superman IV: The Quest for Peace","1987","action,adventure,family","3.7 base on 41,594 votes"
"Delta Farce","2007","action,adventure,comedy","3.6 base on 10,443 votes"
"Dungeons & Dragons","2000","action,adventure,fantasy","3.6 base on 31,447 votes"
"Spy Kids 4: All the Time in the World","2011","action,adventure,comedy,family","3.5 base on 21,800 votes"
"Dance Flick","2009","action,comedy,music","3.5 base on 11,520 votes"
"The Adventures of Sharkboy and Lavagirl 3-D","2005","action,adventure,comedy,family,fantasy","3.5 base on 30,107 votes"
"D-War","2007","action,drama,fantasy,horror,thriller","3.5 base on 23,413 votes"
"Catwoman","2004","action,crime,fantasy","3.4 base on 107,832 votes"
"Barb Wire","1996","action","3.3 base on 24,422 votes"
"Captain America","1990","action,adventure,war","3.2 base on 10,894 votes"
"Left Behind","I (2014)","action,drama,fantasy,mystery,thriller","3.1 base on 35,826 votes"
"Far Cry","2008","action,adventure","3.1 base on 13,044 votes"
"Rollerball","2002","action,sport","3.1 base on 25,212 votes"
"Marighella","2019","action,drama,history,thriller","3 base on 42,601 votes"
"BloodRayne","2005","action,adventure,fantasy,horror","2.9 base on 33,651 votes"
"3 Ninjas: High Noon at Mega Mountain","1998","action,adventure,comedy,family","2.9 base on 10,311 votes"
"Steel","1997","action,adventure,crime,fantasy","2.8 base on 10,793 votes"
"Dragonball Evolution","2009","action,adventure,family,fantasy,thriller","2.5 base on 68,642 votes"
"Battlefield Earth","2000","action,adventure","2.5 base on 74,743 votes"
"Alone in the Dark","2005","action,horror","2.4 base on 41,203 votes"
"Gunday","2014","action,drama,romance","2.3 base on 57,153 votes"
"Race 3","2018","action,thriller","2 base on 31,057 votes"
"House of the Dead","2003","action,adventure,horror","2 base on 35,461 votes"
"Dünyayi Kurtaran Adam'in Oglu","2006","action,comedy","1.7 base on 15,471 votes"
"The Lord of the Rings: The Return of the King","2003","adventure,drama,fantasy","8.9 base on 1,587,034 votes"
"Ko to tamo peva","1980","adventure,comedy,drama,war","8.9 base on 13,463 votes"
"Anbe Sivam","2003","adventure,comedy,drama","8.7 base on 14,559 votes"
"Hababam Sinifi Tatilde","1977","adventure,comedy,drama","8.7 base on 15,898 votes"
"The Lord of the Rings: The Two Towers","2002","adventure,drama,fantasy","8.7 base on 1,433,820 votes"
"Interstellar","2014","adventure,drama,thriller","8.6 base on 1,420,092 votes"
"Sen to Chihiro no kamikakushi","2001","adventure,animation,family,fantasy,mystery","8.6 base on 613,049 votes"
"The Lion King","1994","adventure,animation,drama,family,musical","8.5 base on 905,580 votes"
"Back to the Future","1985","adventure,comedy","8.5 base on 1,006,208 votes"
"Brilliantovaya ruka","1969","adventure,comedy,crime","8.5 base on 12,691 votes"
"Coco","I (2017)","adventure,animation,family,fantasy,music,mystery","8.4 base on 340,452 votes"
"WALL·E","2008","adventure,animation,family","8.4 base on 963,568 votes"
"Mononoke-hime","1997","adventure,animation,fantasy","8.4 base on 323,442 votes"
"Ivan Vasilevich menyaet professiyu","1973","adventure,comedy","8.4 base on 14,435 votes"
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika","1967","adventure,comedy,romance","8.4 base on 10,335 votes"
"Toy Story 3","2010","adventure,animation,comedy,family,fantasy","8.3 base on 731,765 votes"
"Inglourious Basterds","2009","adventure,drama,war","8.3 base on 1,212,434 votes"
"Toy Story","1995","adventure,animation,comedy,family,fantasy","8.3 base on 854,180 votes"
"Das Boot","1981","adventure,drama,thriller,war","8.3 base on 223,239 votes"
"Dersu Uzala","1975","adventure,biography,drama","8.3 base on 22,584 votes"
"2001: A Space Odyssey","1968","adventure","8.3 base on 579,429 votes"
"Lawrence of Arabia","1962","adventure,biography,drama,history,war","8.3 base on 257,734 votes"
"North by Northwest","1959","adventure,mystery,thriller","8.3 base on 287,700 votes"
"Klaus","2019","adventure,animation,comedy,family","8.2 base on 69,643 votes"
"Queen","2013","adventure,comedy,drama","8.2 base on 58,185 votes"
"Montevideo, Bog te video!","2010","adventure,comedy,drama,history,romance,sport","8.2 base on 11,050 votes"
"Up","2009","adventure,animation,comedy,family","8.2 base on 900,818 votes"
"Hauru no ugoku shiro","2004","adventure,animation,family,fantasy","8.2 base on 310,434 votes"
"Monty Python and the Holy Grail","1975","adventure,comedy,fantasy","8.2 base on 486,428 votes"
"The Great Escape","1963","adventure,drama,history,thriller,war","8.2 base on 216,816 votes"
"The Treasure of the Sierra Madre","1948","adventure,drama,western","8.2 base on 109,794 votes"
"The Gold Rush","1925","adventure,comedy,drama,western","8.2 base on 95,632 votes"
"The Grand Budapest Hotel","2014","adventure,comedy,crime","8.1 base on 678,133 votes"
"Inside Out","I (2015)","adventure,animation,comedy,drama,family,fantasy","8.1 base on 583,306 votes"
"Song of the Sea","2014","adventure,animation,drama,family,fantasy","8.1 base on 48,306 votes"
"Harry Potter and the Deathly Hallows: Part 2","2011","adventure,drama,fantasy,mystery","8.1 base on 733,862 votes"
"Into the Wild","2007","adventure,biography,drama","8.1 base on 552,619 votes"
"Finding Nemo","2003","adventure,animation,comedy,family","8.1 base on 918,399 votes"
"Lagaan: Once Upon a Time in India","2001","adventure,drama,musical,sport","8.1 base on 100,750 votes"
"The Princess Bride","1987","adventure,family,fantasy,romance","8.1 base on 380,010 votes"
"Stand by Me","1986","adventure,drama","8.1 base on 350,947 votes"
"Kaze no tani no Naushika","1984","adventure,animation,fantasy","8.1 base on 141,244 votes"
"Fitzcarraldo","1982","adventure,drama","8.1 base on 29,781 votes"
"Barry Lyndon","1975","adventure,drama,history,war","8.1 base on 142,733 votes"
"Ben-Hur","1959","adventure,drama,history","8.1 base on 212,441 votes"
"Kakushi-toride no san-akunin","1958","adventure,drama","8.1 base on 32,376 votes"
"The Bridge on the River Kwai","1957","adventure,drama,war","8.1 base on 196,271 votes"
"Le salaire de la peur","1953","adventure,drama,thriller","8.1 base on 51,932 votes"
"Togo","2019","adventure,biography,drama,family,history","8 base on 27,543 votes"
"The Martian","2015","adventure,drama","8 base on 730,991 votes"
"Manjhi: The Mountain Man","2015","adventure,biography,drama","8 base on 17,152 votes"
"Zootopia","2016","adventure,animation,comedy,crime,family,mystery","8 base on 414,786 votes"
"Kaguyahime no monogatari","2013","adventure,animation,drama,family,fantasy","8 base on 34,702 votes"
"Blood Diamond","2006","adventure,drama,thriller","8 base on 484,633 votes"
"G.O.R.A.","2004","adventure,comedy","8 base on 54,333 votes"
"Ratatouille","2007","adventure,animation,comedy,drama,family,fantasy","8 base on 617,445 votes"
"Big Fish","2003","adventure,drama,fantasy,romance","8 base on 404,706 votes"
"Monsters, Inc.","2001","adventure,animation,comedy,family,fantasy","8 base on 786,472 votes"
"Aladdin","1992","adventure,animation,comedy,family,fantasy,musical,romance","8 base on 358,315 votes"
"Dances with Wolves","1990","adventure,drama,western","8 base on 232,497 votes"
"Tenkû no shiro Rapyuta","1986","adventure,animation,drama,family,fantasy","8 base on 142,270 votes"
"Jaws","1975","adventure,thriller","8 base on 529,497 votes"
"Planet of the Apes","1968","adventure","8 base on 161,477 votes"
"La grande vadrouille","1966","adventure,comedy,war","8 base on 15,299 votes"
"The Wizard of Oz","1939","adventure,family,fantasy,musical","8 base on 363,986 votes"
"Isle of Dogs","2018","adventure,animation,comedy,drama,fantasy","7.9 base on 128,945 votes"
"Hunt for the Wilderpeople","2016","adventure,comedy,drama","7.9 base on 101,780 votes"
"El abrazo de la serpiente","2015","adventure,drama","7.9 base on 19,507 votes"
"Ernest et Célestine","2012","adventure,animation,comedy,crime,drama,family,fantasy","7.9 base on 17,418 votes"
"The Fall","2006","adventure,drama,fantasy","7.9 base on 105,002 votes"
"Life of Pi","2012","adventure,drama,fantasy","7.9 base on 564,718 votes"
"Fantastic Mr. Fox","2009","adventure,animation,comedy,crime,drama,family","7.9 base on 189,611 votes"
"Harry Potter and the Prisoner of Azkaban","2004","adventure,family,fantasy,mystery","7.9 base on 525,202 votes"
"Almost Famous","2000","adventure,comedy,drama,music","7.9 base on 244,630 votes"
"Toy Story 2","1999","adventure,animation,comedy,family,fantasy","7.9 base on 509,064 votes"
"The Blues Brothers","1980","adventure,comedy,crime,music,musical","7.9 base on 175,940 votes"
"La montaña sagrada","1973","adventure,drama,fantasy","7.9 base on 34,679 votes"
"Spartacus","1960","adventure,biography,drama,history,war","7.9 base on 120,226 votes"
"The Searchers","1956","adventure,drama,western","7.9 base on 77,318 votes"
"The Court Jester","1955","adventure,comedy,family,musical","7.9 base on 11,200 votes"
"Sullivan's Travels","1941","adventure,comedy,drama,romance","7.9 base on 23,098 votes"
"Stagecoach","1939","adventure,drama,western","7.9 base on 41,306 votes"
"King Kong","1933","adventure,horror","7.9 base on 76,687 votes"
"Paddington 2","2017","adventure,comedy,family,fantasy","7.8 base on 56,409 votes"
"Dag","2012","adventure,drama,thriller,war","7.8 base on 19,113 votes"
"Toy Story 4","2019","adventure,animation,comedy,family,fantasy","7.8 base on 180,784 votes"
"The Hobbit: The Desolation of Smaug","2013","adventure,fantasy","7.8 base on 586,532 votes"
"The Hobbit: An Unexpected Journey","2012","adventure,family,fantasy","7.8 base on 741,399 votes"
"Toki o kakeru shôjo","2006","adventure,animation,comedy,drama,family,mystery,romance","7.8 base on 57,476 votes"
